homeName,awayName,outcome1,outcomeX,outcome2,outcomeOver,outcomeUnder,outcomeGG,outcomeNG,homeId,awayId
Ac Milan,Parma,1.27,6.0,10.0,1.33,3.05,1.65,2.1,0,14
Udinese,Roma,3.1,3.15,2.4,2.0,1.72,1.75,1.97,19,16
Lecce,Inter Milan,10.0,5.25,1.3,1.65,2.1,2.05,1.7,12,9
Lazio,Fiorentina,2.05,3.3,3.7,1.83,1.87,1.63,2.15,11,6
Pisa,Hellas Verona,2.25,3.3,3.25,1.8,1.9,1.63,2.15,15,8
Genoa,Cremonese,2.3,3.0,3.5,2.35,1.53,2.0,1.72,7,5
Parma,Lecce,2.45,3.15,3.05,1.9,1.8,1.7,2.05,14,12
Udinese,Pisa,1.75,3.6,4.75,1.85,1.85,1.75,1.95,19,15
Cremonese,Hellas Verona,2.45,2.95,3.25,2.1,1.65,1.8,1.9,5,8
Atalanta,Torino,1.53,4.1,6.25,1.77,1.95,1.85,1.85,1,18
Bologna,Como,1.95,3.35,4.1,1.9,1.8,1.77,1.95,2,4
Fiorentina,Genoa,1.85,3.35,4.5,1.85,1.85,1.72,2.0,6,7
Ac Milan,Inter Milan,4.3,3.5,1.85,1.75,1.97,1.63,2.15,0,9
Roma,Napoli,3.5,3.2,2.2,2.1,1.65,1.77,1.95,16,13
Cagliari,Lazio,3.85,3.4,2.0,1.8,1.9,1.63,2.15,3,11
Como,Juventus,3.4,3.3,2.2,1.95,1.75,1.72,2.0,4,10
Hellas Verona,Atalanta,7.5,4.5,1.43,1.7,2.05,1.87,1.83,8,1
Sassuolo,Ac Milan,5.35,3.85,1.65,1.65,2.1,1.63,2.15,17,0
Torino,Genoa,2.4,2.8,3.5,2.65,1.42,2.1,1.67,18,7
Pisa,Roma,4.35,3.45,1.83,1.8,1.9,1.68,2.05,15,16
Cagliari,Parma,1.9,3.5,4.0,1.72,2.0,1.57,2.25,3,14
Lazio,Cremonese,1.28,5.4,10.5,1.6,2.2,2.05,1.68,11,5
Lecce,Bologna,4.35,3.2,1.92,2.2,1.6,1.97,1.75,12,2
Napoli,Udinese,1.47,4.15,7.3,1.97,1.75,2.15,1.63,13,19
Inter Milan,Fiorentina,1.45,4.6,6.5,1.65,2.1,1.8,1.9,9,6
Bologna,Torino,1.75,3.35,5.35,2.35,1.53,2.1,1.65,2,18
Atalanta,Cagliari,1.48,4.25,6.5,1.65,2.1,1.77,1.95,1,3
Lazio,Napoli,2.5,3.0,3.1,2.15,1.63,1.8,1.9,11,13
Ac Milan,Hellas Verona,1.35,5.0,8.5,1.5,2.4,1.8,1.9,0,8
Fiorentina,Como,2.35,3.1,3.25,2.0,1.72,1.72,2.0,6,4
Udinese,Sassuolo,1.85,3.35,4.5,2.0,1.72,1.83,1.87,19,17
Cremonese,Lecce,2.75,3.0,2.75,2.3,1.55,1.9,1.8,5,12
Parma,Roma,3.75,3.25,2.05,1.72,2.0,1.55,2.3,14,16
Juventus,Inter Milan,3.85,3.25,2.05,2.0,1.72,1.75,1.97,10,9
Genoa,Pisa,1.8,3.25,5.0,2.25,1.57,2.05,1.68,7,15
Lecce,Udinese,3.0,2.95,2.6,2.3,1.55,1.85,1.85,12,19
Pisa,Lazio,5.85,3.9,1.58,1.8,1.9,1.85,1.85,15,11
Parma,Bologna,4.5,3.55,1.8,1.85,1.85,1.72,2.0,14,2
Torino,Ac Milan,4.0,3.55,1.9,1.8,1.9,1.65,2.1,18,0
Inter Milan,Genoa,1.28,5.35,11.0,1.72,2.0,2.15,1.63,9,7
Como,Napoli,3.6,3.05,2.2,2.2,1.6,1.85,1.87,4,13
Hellas Verona,Fiorentina,3.9,3.25,2.0,2.15,1.63,1.9,1.8,8,6
Sassuolo,Atalanta,6.5,4.25,1.5,1.62,2.15,1.77,1.95,17,1
Cagliari,Juventus,4.65,3.35,1.85,2.0,1.72,1.85,1.85,3,10
Roma,Cremonese,1.25,5.75,12.0,1.65,2.1,2.25,1.57,16,5
Genoa,Lecce,2.05,2.95,4.25,2.5,1.47,2.05,1.7,7,12
Cremonese,Parma,3.05,3.3,2.35,1.85,1.85,1.65,2.1,5,14
Udinese,Hellas Verona,1.75,3.45,5.0,2.15,1.63,2.0,1.72,19,8
Ac Milan,Como,1.77,3.75,4.5,1.6,2.2,1.57,2.25,0,4
Torino,Sassuolo,1.85,3.25,4.65,2.05,1.68,1.9,1.8,18,17
Pisa,Napoli,7.5,4.3,1.45,1.97,1.75,2.15,1.63,15,13
Bologna,Lazio,2.25,2.95,3.6,2.25,1.57,1.85,1.85,2,11
Roma,Cagliari,1.48,4.2,7.0,1.8,1.9,1.95,1.77,16,3
Fiorentina,Juventus,3.25,3.05,2.35,2.2,1.6,1.8,1.9,6,10
Atalanta,Inter Milan,2.65,3.15,2.75,1.8,1.9,1.6,2.2,1,9
Lecce,Como,3.65,3.35,2.05,1.9,1.8,1.72,2.0,12,4
Cremonese,Napoli,10.15,5.15,1.3,1.68,2.05,2.15,1.63,5,13
Roma,Hellas Verona,1.52,3.9,6.4,2.0,1.72,2.0,1.72,16,8
Sassuolo,Pisa,2.35,2.9,3.5,2.3,1.55,1.9,1.8,17,15
Bologna,Inter Milan,3.45,3.05,2.25,2.05,1.68,1.72,2.0,2,9
Ac Milan,Atalanta,2.6,3.4,2.6,1.53,2.35,1.42,2.65,0,1
Torino,Udinese,2.45,2.9,3.3,2.3,1.55,1.9,1.8,18,19
Cagliari,Fiorentina,3.1,3.05,2.45,2.05,1.68,1.75,1.97,3,6
Genoa,Lazio,3.35,3.15,2.25,2.2,1.6,1.85,1.85,7,11
Parma,Juventus,5.0,3.65,1.7,1.85,1.85,1.8,1.9,14,10
Torino,Udinese,2.4,2.9,3.35,2.4,1.5,1.97,1.75,18,19
Genoa,Lazio,3.8,3.1,2.1,2.2,1.6,1.9,1.8,7,11
Cagliari,Fiorentina,2.95,3.05,2.55,2.15,1.63,1.8,1.9,3,6
Como,Genoa,1.77,3.6,4.6,1.9,1.8,1.8,1.9,4,7
